Upfront,Payout,Multiple,IRR,Cash Flows
56.3000545324544,56.0,0.9946704397545222,-0.003109778858826351,"[-56.3000545324544, 36.0, 0, 20.0]"
56.3000545324544,118.0,2.095912712339886,0.33011207645350393,"[-56.3000545324544, 45.0, 0, 38.0, 0, 0, 35.0]"
56.3000545324544,83.0,1.4742436874933096,0.25423281073591464,"[-56.3000545324544, 49.0, 0, 34.0]"
56.3000545324544,138.0,2.4511521551093582,0.6052234131865333,"[-56.3000545324544, 77.0, 0, 26.0, 0, 0, 35.0]"
56.3000545324544,72.0,1.2788619939700998,0.11226443672558317,"[-56.3000545324544, 36.0, 0, 20.0, 0, 16.0]"
56.3000545324544,152.0,2.6998197650479887,0.5352745729675004,"[-56.3000545324544, 64.0, 0, 26.0, 26.0, 0, 36.0]"
56.3000545324544,115.0,2.0426267959244653,0.2922516045258037,"[-56.3000545324544, 43.0, 0, 34.0, 0, 16.0, 0, 0, 22.0]"
56.3000545324544,142.0,2.522200043663253,0.5950619365640684,"[-56.3000545324544, 56.0, 0, 86.0]"
56.3000545324544,71.0,1.2611000218316264,0.12426773820948944,"[-56.3000545324544, 45.0, 0, 0, 26.0]"
56.3000545324544,132.0,2.3445803222785164,0.39337755396978036,"[-56.3000545324544, 45.0, 0, 52.0, 0, 0, 35.0]"
56.3000545324544,151.0,2.6820577929095153,0.6623086864950134,"[-56.3000545324544, 77.0, 0, 38.0, 0, 0, 36.0]"
56.3000545324544,163.0,2.8952014585711985,0.6544350113650506,"[-56.3000545324544, 75.0, 0, 26.0, 26.0, 0, 36.0]"
56.3000545324544,63.0,1.1190042447238375,0.08643771595263328,"[-56.3000545324544, 51.0, 0, 12.0]"
56.3000545324544,89.0,1.5808155203241512,0.3032517122886065,"[-56.3000545324544, 51.0, 0, 38.0]"
56.3000545324544,98.0,1.7406732695704137,0.24785875447268602,"[-56.3000545324544, 40.0, 0, 16.0, 26.0, 16.0]"
56.3000545324544,164.0,2.912963430709672,0.4842557840981825,"[-56.3000545324544, 51.0, 0, 26.0, 52.0, 0, 35.0]"
56.3000545324544,67.0,1.1900521332777318,0.04101866432784318,"[-56.3000545324544, 21.0, 0, 8.0, 0, 16.0, 0, 0, 22.0]"
56.3000545324544,117.0,2.0781507402014125,0.24443882874999256,"[-56.3000545324544, 40.0, 0, 20.0, 0, 24.0, 0, 0, 33.0]"
56.3000545324544,136.0,2.415628210832411,0.39520563458147984,"[-56.3000545324544, 49.0, 0, 26.0, 26.0, 0, 35.0]"
56.3000545324544,91.0,1.6163394646010985,0.16422556403806254,"[-56.3000545324544, 30.0, 0, 26.0, 0, 0, 35.0]"
56.3000545324544,41.0,0.728240857677418,-0.17314648249719866,"[-56.3000545324544, 29.0, 0, 12.0]"
56.3000545324544,80.0,1.420957771077889,0.3285688724956297,"[-56.3000545324544, 68.0, 0, 12.0]"
56.3000545324544,192.0,3.4102986505869333,0.6612331917905874,"[-56.3000545324544, 59.0, 0, 72.0, 26.0, 0, 35.0]"
56.3000545324544,159.0,2.824153570017304,0.4865237842288237,"[-56.3000545324544, 53.0, 0, 46.0, 0, 24.0, 36.0]"
56.3000545324544,55.0,0.9769084676160485,-0.01036952989955986,"[-56.3000545324544, 21.0, 0, 34.0]"
56.3000545324544,83.0,1.4742436874933096,0.22007189076162592,"[-56.3000545324544, 49.0, 0, 8.0, 26.0]"
56.3000545324544,45.0,0.7992887462313124,-0.20071125376868748,"[-56.3000545324544, 45.0]"
56.3000545324544,84.0,1.4920056596317832,0.30243477763259174,"[-56.3000545324544, 58.0, 0, 26.0]"
56.3000545324544,145.0,2.5754859600786735,0.7466321982114079,"[-56.3000545324544, 81.0, 0, 38.0, 26.0]"
56.3000545324544,69.0,1.2255760775546791,0.12721810556074065,"[-56.3000545324544, 43.0, 0, 26.0]"
56.3000545324544,105.0,1.8650070745397291,0.23203832962863236,"[-56.3000545324544, 32.0, 0, 38.0, 0, 0, 35.0]"
56.3000545324544,146.0,2.593247932217147,0.5137328334555458,"[-56.3000545324544, 58.0, 0, 52.0, 0, 0, 36.0]"
56.3000545324544,123.0,2.184722573032254,0.4306201035545667,"[-56.3000545324544, 62.0, 0, 26.0, 0, 0, 35.0]"
56.3000545324544,51.0,0.9058605790621541,-0.07143532982797818,"[-56.3000545324544, 43.0, 0, 8.0]"
56.3000545324544,114.0,2.0248648237859914,0.24326522853094756,"[-56.3000545324544, 45.0, 0, 12.0, 0, 24.0, 0, 0, 33.0]"
56.3000545324544,97.0,1.7229112974319403,0.4737315917260392,"[-56.3000545324544, 71.0, 0, 26.0]"
56.3000545324544,224.0,3.9786817590180887,0.816061439948865,"[-56.3000545324544, 75.0, 0, 78.0, 0, 0, 71.0]"
56.3000545324544,70.0,1.2433380496931528,0.10177679737205825,"[-56.3000545324544, 36.0, 0, 8.0, 26.0]"
56.3000545324544,168.0,2.9840113192635664,0.7695245483999571,"[-56.3000545324544, 81.0, 0, 52.0, 0, 0, 35.0]"
56.3000545324544,88.0,1.5630535481856778,0.35337458173981906,"[-56.3000545324544, 62.0, 0, 26.0]"
56.3000545324544,101.0,1.7939591859858346,0.2279766898206821,"[-56.3000545324544, 39.0, 0, 26.0, 0, 0, 36.0]"
56.3000545324544,51.0,0.9058605790621541,-0.04116797950626827,"[-56.3000545324544, 17.0, 0, 34.0]"
56.3000545324544,118.0,2.095912712339886,0.33011207645350393,"[-56.3000545324544, 45.0, 0, 38.0, 0, 0, 35.0]"
